source,target,sim_value
인구,가구,0.39145052
인구,사업체수,0.3992187
인구,취업자,0.35666922
인구,종사자수,0.338378
인구,면적,0.491891
인구,가구주,0.31737685
인구,성별,0.35018066
인구,매출액,0.30817258
인구,가구원수,0.33324462
인구,소득,0.43511158
인구,취업인구,0.35422823
인구,1인가구,0.32290816
인구,경제활동인구,0.40363806
인구,농가인구,0.4662382
인구,산업,0.33624852
인구,주택,0.3956625
인구,가구원,0.34053528
인구,이민자,0.32089612
인구,비경제활동인구,0.34650692
인구,저축액,0.31671107
인구,가구수,0.45423993
인구,실업자,0.31744608
인구,혼인상태,0.39621013
인구,연간소득,0.31218734
인구,유업자,0.37460476
인구,생산액,0.3796717
인구,종업원수,0.35609838
인구,자녀,0.338381
인구,연령,0.37117854
인구,출생아수,0.44854853
인구,총자산,0.33978006
인구,혼인,0.35653746
인구,수입액,0.32405308
인구,취업,0.32036635
인구,사망자수,0.35497725
인구,점포수,0.34664366
인구,주택수,0.37801844
인구,월평균소득,0.3361707
인구,여성인구,0.5231558
인구,출하액,0.33490813
인구,가구소득,0.34771237
인구,경지면적,0.40386224
인구,취업자수,0.42781806
인구,순자산,0.31157508
인구,가족,0.3289827
인구,실업률,0.33919835
인구,농가부채,0.31012765
인구,객실수,0.32768533
인구,보유대수,0.32188085
인구,고용률,0.34206846
인구,구성비,0.39283514
인구,사교육비,0.30630657
가구,인구,0.39145052
가구,농가,0.43884605
가구,사업체수,0.37580436
가구,취업자,0.30722973
가구,면적,0.38969025
가구,가구주,0.38063416
가구,임가,0.30893207
가구,사업체,0.3697701
가구,일반가구,0.42175615
가구,가구원수,0.37850937
가구,소득,0.38482097
가구,고령자,0.3131331
가구,1인가구,0.396025
가구,부채,0.32092565
가구,산업,0.3902164
가구,주택,0.5248278
가구,가구원,0.47641325
가구,종사자,0.30051368
가구,급여액,0.30447826
가구,가구수,0.47491625
가구,광업,0.3532374
가구,혼인상태,0.3640075
가구,연간소득,0.3826183
가구,생산액,0.35784367
가구,이혼,0.36308894
가구,종업원수,0.31114742
가구,자녀,0.3481982
가구,연령,0.34940702
가구,혼인,0.30904898
가구,수입액,0.3181317
가구,직업,0.309911
가구,취업,0.33363098
가구,임차료,0.3675649
가구,월평균소득,0.4068334
가구,여성인구,0.3075207
가구,출하액,0.32054326
가구,가구소득,0.3202454
가구,기업,0.32264674
가구,판매액,0.3442899
가구,경지면적,0.30233783
가구,취업자수,0.31912342
가구,가족,0.38175416
가구,남자,0.32394338
가구,창업,0.37345526
가구,객실수,0.3120238
가구,보유대수,0.3322919
가구,구성비,0.3184313
농가,가구,0.43884605
농가,사업체수,0.31957817
농가,임가,0.4139271
농가,사업체,0.31760648
농가,소득,0.41856894
농가,농가인구,0.39747915
농가,산업,0.31668332
농가,주택,0.37489632
농가,가구원,0.30107206
농가,재배면적,0.40325055
농가,가구수,0.36362934
농가,재배농가,0.5288659
농가,젖소,0.3999002
농가,생산비,0.34050715
농가,임차료,0.33213007
농가,기업,0.30664822
농가,경지면적,0.41056538
농가,경영주,0.32476813
농가,가족,0.34563532
농가,육우,0.39182562
농가,농업법인,0.35815576
농가,농가부채,0.42252707
농가,농기계,0.35970584
농가,육계,0.35090736
농가,산란계,0.51429504
사업체수,인구,0.3992187
사업체수,가구,0.37580436
사업체수,농가,0.31957817
사업체수,취업자,0.48521557
사업체수,종사자수,0.82178354
사업체수,면적,0.36708456
사업체수,가구주,0.40998238
사업체수,일자리,0.33095768
사업체수,사업체,0.40817064
사업체수,일반가구,0.47382343
사업체수,농가수,0.5622253
사업체수,매출액,0.4993285
