DOCUMENT_ID,SURVEY_ID,TYPE,LABEL
DOC_101001_1,101001,이용자용통계정보보고서,document
DOC_101001_3,101001,보도자료,document
DOC_101002_1,101002,이용자용통계정보보고서,document
DOC_101002_2,101002,간행물,document
DOC_101002_3,101002,보도자료,document
DOC_101003_1,101003,이용자용통계정보보고서,document
DOC_101003_3,101003,보도자료,document
DOC_101004_1,101004,이용자용통계정보보고서,document
DOC_101004_3,101004,보도자료,document
DOC_101006_1,101006,이용자용통계정보보고서,document
DOC_101006_3,101006,보도자료,document
DOC_101007_1,101007,이용자용통계정보보고서,document
DOC_101007_3,101007,보도자료,document
DOC_101009_1,101009,이용자용통계정보보고서,document
DOC_101009_2,101009,간행물,document
DOC_101009_3,101009,보도자료,document
DOC_101011_1,101011,이용자용통계정보보고서,document
DOC_101011_3,101011,보도자료,document
DOC_101013_1,101013,이용자용통계정보보고서,document
DOC_101013_2,101013,간행물,document
DOC_101014_1,101014,이용자용통계정보보고서,document
DOC_101014_2,101014,간행물,document
DOC_101014_3,101014,보도자료,document
DOC_101015_1,101015,이용자용통계정보보고서,document
DOC_101015_3,101015,보도자료,document
DOC_101016_1,101016,이용자용통계정보보고서,document
DOC_101016_3,101016,보도자료,document
DOC_101018_1,101018,이용자용통계정보보고서,document
DOC_101018_2,101018,간행물,document
DOC_101018_3,101018,보도자료,document
DOC_101019_1,101019,이용자용통계정보보고서,document
DOC_101019_2,101019,간행물,document
DOC_101019_3,101019,보도자료,document
DOC_101020_1,101020,이용자용통계정보보고서,document
DOC_101020_2,101020,간행물,document
DOC_101020_3,101020,보도자료,document
DOC_101021_1,101021,이용자용통계정보보고서,document
DOC_101021_3,101021,보도자료,document
DOC_101027_1,101027,이용자용통계정보보고서,document
DOC_101027_2,101027,간행물,document
DOC_101027_3,101027,보도자료,document
DOC_101028_1,101028,이용자용통계정보보고서,document
DOC_101028_3,101028,보도자료,document
DOC_101033_1,101033,이용자용통계정보보고서,document
DOC_101033_2,101033,간행물,document
DOC_101033_3,101033,보도자료,document
DOC_101035_1,101035,이용자용통계정보보고서,document
DOC_101035_3,101035,보도자료,document
DOC_101037_1,101037,이용자용통계정보보고서,document
DOC_101037_2,101037,간행물,document
DOC_101037_3,101037,보도자료,document
DOC_101040_1,101040,이용자용통계정보보고서,document
DOC_101040_3,101040,보도자료,document
DOC_101041_1,101041,이용자용통계정보보고서,document
DOC_101041_2,101041,간행물,document
DOC_101041_3,101041,보도자료,document
DOC_101042_1,101042,이용자용통계정보보고서,document
DOC_101042_2,101042,간행물,document
DOC_101042_3,101042,보도자료,document
DOC_101043_1,101043,이용자용통계정보보고서,document
DOC_101043_2,101043,간행물,document
DOC_101043_3,101043,보도자료,document
DOC_101044_1,101044,이용자용통계정보보고서,document
DOC_101044_2,101044,간행물,document
DOC_101044_3,101044,보도자료,document
DOC_101045_1,101045,이용자용통계정보보고서,document
DOC_101045_2,101045,간행물,document
DOC_101045_3,101045,보도자료,document
DOC_101049_1,101049,이용자용통계정보보고서,document
DOC_101049_2,101049,간행물,document
DOC_101049_3,101049,보도자료,document
DOC_101050_1,101050,이용자용통계정보보고서,document
DOC_101050_2,101050,간행물,document
DOC_101050_3,101050,보도자료,document
DOC_101052_1,101052,이용자용통계정보보고서,document
DOC_101052_2,101052,간행물,document
DOC_101052_3,101052,보도자료,document
DOC_101054_1,101054,이용자용통계정보보고서,document
DOC_101054_2,101054,간행물,document
DOC_101054_3,101054,보도자료,document
DOC_101056_1,101056,이용자용통계정보보고서,document
DOC_101056_2,101056,간행물,document
DOC_101056_3,101056,보도자료,document
DOC_101062_1,101062,이용자용통계정보보고서,document
DOC_101062_2,101062,간행물,document
DOC_101062_3,101062,보도자료,document
DOC_101064_1,101064,이용자용통계정보보고서,document
DOC_101064_2,101064,간행물,document
DOC_101064_3,101064,보도자료,document
DOC_101066_1,101066,이용자용통계정보보고서,document
DOC_101066_3,101066,보도자료,document
DOC_101067_1,101067,이용자용통계정보보고서,document
DOC_101067_3,101067,보도자료,document
DOC_101071_1,101071,이용자용통계정보보고서,document
DOC_101071_3,101071,보도자료,document
DOC_101073_1,101073,이용자용통계정보보고서,document
DOC_101073_3,101073,보도자료,document
DOC_101074_1,101074,이용자용통계정보보고서,document
DOC_101074_3,101074,보도자료,document
DOC_101078_1,101078,이용자용통계정보보고서,document
DOC_101078_3,101078,보도자료,document
DOC_101079_1,101079,이용자용통계정보보고서,document
DOC_101079_3,101079,보도자료,document
DOC_101080_1,101080,이용자용통계정보보고서,document
DOC_101080_3,101080,보도자료,document
DOC_101082_3,101082,보도자료,document
DOC_101082_4,101082,통계설명메타,document
DOC_101083_3,101083,보도자료,document
DOC_101083_4,101083,통계설명메타,document
DOC_101084_3,101084,보도자료,document
DOC_101084_4,101084,통계설명메타,document
DOC_101085_3,101085,보도자료,document
DOC_101085_4,101085,통계설명메타,document
DOC_101086_3,101086,보도자료,document
DOC_101086_4,101086,통계설명메타,document
DOC_101087_3,101087,보도자료,document
DOC_101088_3,101088,보도자료,document
DOC_101088_4,101088,통계설명메타,document
DOC_101089_1,101089,이용자용통계정보보고서,document
DOC_101089_3,101089,보도자료,document
DOC_101090_3,101090,보도자료,document
DOC_101090_4,101090,통계설명메타,document
DOC_101091_3,101091,보도자료,document
DOC_101091_4,101091,통계설명메타,document
DOC_101092_3,101092,보도자료,document
DOC_101092_4,101092,통계설명메타,document
DOC_102001_1,102001,이용자용통계정보보고서,document
DOC_102002_1,102002,이용자용통계정보보고서,document
DOC_102002_3,102002,보도자료,document
DOC_102003_1,102003,이용자용통계정보보고서,document
DOC_102003_3,102003,보도자료,document
DOC_102004_1,102004,이용자용통계정보보고서,document
DOC_102005_1,102005,이용자용통계정보보고서,document
DOC_102005_3,102005,보도자료,document
DOC_102006_1,102006,이용자용통계정보보고서,document
DOC_102006_3,102006,보도자료,document
DOC_102007_1,102007,이용자용통계정보보고서,document
DOC_103001_1,103001,이용자용통계정보보고서,document
DOC_103002_1,103002,이용자용통계정보보고서,document
DOC_103003_1,103003,이용자용통계정보보고서,document
DOC_105001_1,105001,이용자용통계정보보고서,document
DOC_105001_2,105001,간행물,document
DOC_105001_3,105001,보도자료,document
DOC_105002_1,105002,이용자용통계정보보고서,document
DOC_105002_2,105002,간행물,document
DOC_105003_1,105003,이용자용통계정보보고서,document
DOC_105003_2,105003,간행물,document
DOC_105004_1,105004,이용자용통계정보보고서,document
DOC_105004_2,105004,간행물,document
DOC_105005_1,105005,이용자용통계정보보고서,document
DOC_105005_2,105005,간행물,document
DOC_105006_1,105006,이용자용통계정보보고서,document
DOC_105006_2,105006,간행물,document
DOC_106001_1,106001,이용자용통계정보보고서,document
DOC_106002_1,106002,이용자용통계정보보고서,document
DOC_106003_1,106003,이용자용통계정보보고서,document
DOC_106005_1,106005,이용자용통계정보보고서,document
DOC_106005_2,106005,간행물,document
DOC_106006_1,106006,이용자용통계정보보고서,document
DOC_106007_1,106007,이용자용통계정보보고서,document
DOC_106009_1,106009,이용자용통계정보보고서,document
DOC_106009_2,106009,간행물,document
DOC_106010_1,106010,이용자용통계정보보고서,document
DOC_106013_1,106013,이용자용통계정보보고서,document
DOC_106013_3,106013,보도자료,document
DOC_106014_1,106014,이용자용통계정보보고서,document
DOC_106014_2,106014,간행물,document
DOC_106016_1,106016,이용자용통계정보보고서,document
DOC_106016_2,106016,간행물,document
DOC_106020_1,106020,이용자용통계정보보고서,document
DOC_106023_1,106023,이용자용통계정보보고서,document
DOC_106023_2,106023,간행물,document
DOC_106025_1,106025,이용자용통계정보보고서,document
DOC_106026_1,106026,이용자용통계정보보고서,document
DOC_106027_1,106027,이용자용통계정보보고서,document
DOC_106027_2,106027,간행물,document
DOC_106027_3,106027,보도자료,document
DOC_106028_3,106028,보도자료,document
DOC_106028_4,106028,통계설명메타,document
DOC_106029_4,106029,통계설명메타,document
DOC_106031_1,106031,이용자용통계정보보고서,document
DOC_106032_4,106032,통계설명메타,document
DOC_106033_4,106033,통계설명메타,document
DOC_106034_1,106034,이용자용통계정보보고서,document
DOC_106034_2,106034,간행물,document
DOC_106035_2,106035,간행물,document
DOC_109005_1,109005,이용자용통계정보보고서,document
DOC_109006_1,109006,이용자용통계정보보고서,document
DOC_109006_2,109006,간행물,document
DOC_110001_1,110001,이용자용통계정보보고서,document
DOC_110005_1,110005,이용자용통계정보보고서,document
DOC_110006_1,110006,이용자용통계정보보고서,document
DOC_110007_1,110007,이용자용통계정보보고서,document
DOC_110013_1,110013,이용자용통계정보보고서,document
DOC_110013_3,110013,보도자료,document
DOC_110020_1,110020,이용자용통계정보보고서,document
DOC_110020_3,110020,보도자료,document
DOC_110025_1,110025,이용자용통계정보보고서,document
DOC_110025_3,110025,보도자료,document
DOC_110026_3,110026,보도자료,document
DOC_110026_4,110026,통계설명메타,document
DOC_110027_1,110027,이용자용통계정보보고서,document
DOC_110027_3,110027,보도자료,document
DOC_110029_1,110029,이용자용통계정보보고서,document
DOC_110029_2,110029,간행물,document
DOC_110029_3,110029,보도자료,document
DOC_110030_1,110030,이용자용통계정보보고서,document
DOC_110031_4,110031,통계설명메타,document
DOC_110032_2,110032,간행물,document
DOC_110032_3,110032,보도자료,document
DOC_111001_3,111001,보도자료,document
DOC_111001_4,111001,통계설명메타,document
DOC_112002_1,112002,이용자용통계정보보고서,document
DOC_112002_2,112002,간행물,document
DOC_112002_3,112002,보도자료,document
DOC_112014_1,112014,이용자용통계정보보고서,document
DOC_112014_2,112014,간행물,document
DOC_112016_1,112016,이용자용통계정보보고서,document
DOC_112016_2,112016,간행물,document
DOC_112017_1,112017,이용자용통계정보보고서,document
DOC_112017_2,112017,간행물,document
DOC_112018_2,112018,간행물,document
DOC_113001_1,113001,이용자용통계정보보고서,document
DOC_113001_2,113001,간행물,document
DOC_113002_1,113002,이용자용통계정보보고서,document
DOC_113002_2,113002,간행물,document
DOC_113002_3,113002,보도자료,document
DOC_113003_1,113003,이용자용통계정보보고서,document
DOC_113003_2,113003,간행물,document
DOC_113003_3,113003,보도자료,document
DOC_113004_1,113004,이용자용통계정보보고서,document
DOC_113004_2,113004,간행물,document
DOC_113005_1,113005,이용자용통계정보보고서,document
DOC_113005_2,113005,간행물,document
DOC_113009_1,113009,이용자용통계정보보고서,document
DOC_113009_2,113009,간행물,document
DOC_113014_1,113014,이용자용통계정보보고서,document
DOC_113014_2,113014,간행물,document
DOC_113015_1,113015,이용자용통계정보보고서,document
DOC_113015_2,113015,간행물,document
DOC_113015_3,113015,보도자료,document
DOC_113016_2,113016,간행물,document
DOC_113016_3,113016,보도자료,document
DOC_113017_1,113017,이용자용통계정보보고서,document
DOC_113017_2,113017,간행물,document
DOC_113018_1,113018,이용자용통계정보보고서,document
DOC_113018_2,113018,간행물,document
DOC_113018_3,113018,보도자료,document
DOC_113020_1,113020,이용자용통계정보보고서,document
DOC_113020_2,113020,간행물,document
DOC_113020_3,113020,보도자료,document
DOC_113021_1,113021,이용자용통계정보보고서,document
DOC_113021_2,113021,간행물,document
DOC_113022_1,113022,이용자용통계정보보고서,document
DOC_113023_1,113023,이용자용통계정보보고서,document
DOC_113023_2,113023,간행물,document
DOC_113024_4,113024,통계설명메타,document
DOC_113025_2,113025,간행물,document
DOC_113026_2,113026,간행물,document
DOC_113026_3,113026,보도자료,document
DOC_113027_3,113027,보도자료,document
DOC_113027_4,113027,통계설명메타,document
DOC_114004_1,114004,이용자용통계정보보고서,document
DOC_114004_2,114004,간행물,document
DOC_114010_1,114010,이용자용통계정보보고서,document
DOC_114010_3,114010,보도자료,document
DOC_114016_4,114016,통계설명메타,document
DOC_114017_1,114017,이용자용통계정보보고서,document
DOC_114017_2,114017,간행물,document
DOC_114018_1,114018,이용자용통계정보보고서,document
DOC_114018_2,114018,간행물,document
DOC_114019_1,114019,이용자용통계정보보고서,document
DOC_114019_2,114019,간행물,document
DOC_114020_4,114020,통계설명메타,document
DOC_114021_4,114021,통계설명메타,document
DOC_114022_4,114022,통계설명메타,document
DOC_114029_1,114029,이용자용통계정보보고서,document
DOC_114032_1,114032,이용자용통계정보보고서,document
DOC_114032_2,114032,간행물,document
DOC_114032_3,114032,보도자료,document
DOC_114033_1,114033,이용자용통계정보보고서,document
DOC_114033_2,114033,간행물,document
DOC_114033_3,114033,보도자료,document
DOC_114036_1,114036,이용자용통계정보보고서,document
DOC_114036_2,114036,간행물,document
DOC_114036_3,114036,보도자료,document
DOC_114037_1,114037,이용자용통계정보보고서,document
DOC_114037_2,114037,간행물,document
DOC_114037_3,114037,보도자료,document
DOC_114047_1,114047,이용자용통계정보보고서,document
DOC_114047_2,114047,간행물,document
DOC_114048_1,114048,이용자용통계정보보고서,document
DOC_114048_2,114048,간행물,document
DOC_114048_3,114048,보도자료,document
DOC_114049_2,114049,간행물,document
DOC_114049_3,114049,보도자료,document
DOC_114050_1,114050,이용자용통계정보보고서,document
DOC_114050_2,114050,간행물,document
DOC_114051_1,114051,이용자용통계정보보고서,document
DOC_114052_1,114052,이용자용통계정보보고서,document
DOC_114052_3,114052,보도자료,document
DOC_114053_1,114053,이용자용통계정보보고서,document
DOC_114053_2,114053,간행물,document
DOC_114054_1,114054,이용자용통계정보보고서,document
DOC_114054_2,114054,간행물,document
DOC_114055_1,114055,이용자용통계정보보고서,document
DOC_114055_3,114055,보도자료,document
DOC_114056_2,114056,간행물,document
DOC_114057_2,114057,간행물,document
DOC_114058_2,114058,간행물,document
DOC_114059_3,114059,보도자료,document
DOC_115002_1,115002,이용자용통계정보보고서,document
DOC_115005_1,115005,이용자용통계정보보고서,document
DOC_115005_2,115005,간행물,document
DOC_115005_3,115005,보도자료,document
DOC_115007_1,115007,이용자용통계정보보고서,document
DOC_115007_2,115007,간행물,document
DOC_115010_1,115010,이용자용통계정보보고서,document
DOC_115010_2,115010,간행물,document
DOC_115012_1,115012,이용자용통계정보보고서,document
DOC_115015_1,115015,이용자용통계정보보고서,document
DOC_115015_2,115015,간행물,document
DOC_115015_3,115015,보도자료,document
DOC_115016_1,115016,이용자용통계정보보고서,document
DOC_115016_2,115016,간행물,document
DOC_115016_3,115016,보도자료,document
DOC_115018_1,115018,이용자용통계정보보고서,document
DOC_115018_2,115018,간행물,document
DOC_115019_1,115019,이용자용통계정보보고서,document
DOC_115019_2,115019,간행물,document
DOC_115020_1,115020,이용자용통계정보보고서,document
DOC_115020_3,115020,보도자료,document
DOC_115022_1,115022,이용자용통계정보보고서,document
DOC_115022_2,115022,간행물,document
DOC_115022_3,115022,보도자료,document
DOC_115023_1,115023,이용자용통계정보보고서,document
DOC_115023_3,115023,보도자료,document
DOC_115026_1,115026,이용자용통계정보보고서,document
DOC_115026_2,115026,간행물,document
DOC_115028_1,115028,이용자용통계정보보고서,document
DOC_115028_2,115028,간행물,document
DOC_115028_3,115028,보도자료,document
DOC_115029_1,115029,이용자용통계정보보고서,document
DOC_115029_2,115029,간행물,document
DOC_115029_3,115029,보도자료,document
DOC_115030_1,115030,이용자용통계정보보고서,document
DOC_115030_2,115030,간행물,document
DOC_115031_1,115031,이용자용통계정보보고서,document
DOC_115031_2,115031,간행물,document
DOC_115033_1,115033,이용자용통계정보보고서,document
DOC_115033_2,115033,간행물,document
DOC_115034_1,115034,이용자용통계정보보고서,document
DOC_115034_2,115034,간행물,document
DOC_115035_1,115035,이용자용통계정보보고서,document
DOC_115035_2,115035,간행물,document
DOC_115035_3,115035,보도자료,document
DOC_115036_4,115036,통계설명메타,document
DOC_115037_4,115037,통계설명메타,document
DOC_115038_2,115038,간행물,document
DOC_116004_1,116004,이용자용통계정보보고서,document
DOC_116004_3,116004,보도자료,document
DOC_116005_1,116005,이용자용통계정보보고서,document
DOC_116005_3,116005,보도자료,document
DOC_116006_1,116006,이용자용통계정보보고서,document
DOC_116007_1,116007,이용자용통계정보보고서,document
DOC_116010_1,116010,이용자용통계정보보고서,document
DOC_116011_1,116011,이용자용통계정보보고서,document
DOC_116013_4,116013,통계설명메타,document
DOC_116015_3,116015,보도자료,document
DOC_116015_4,116015,통계설명메타,document
DOC_116025_1,116025,이용자용통계정보보고서,document
DOC_116026_1,116026,이용자용통계정보보고서,document
DOC_116026_3,116026,보도자료,document
DOC_116027_1,116027,이용자용통계정보보고서,document
DOC_116027_2,116027,간행물,document
DOC_116028_1,116028,이용자용통계정보보고서,document
DOC_116029_4,116029,통계설명메타,document
DOC_116031_1,116031,이용자용통계정보보고서,document
DOC_116031_3,116031,보도자료,document
DOC_116034_1,116034,이용자용통계정보보고서,document
DOC_116035_4,116035,통계설명메타,document
DOC_116036_1,116036,이용자용통계정보보고서,document
DOC_116040_4,116040,통계설명메타,document
DOC_116042_4,116042,통계설명메타,document
DOC_116048_1,116048,이용자용통계정보보고서,document
DOC_116048_3,116048,보도자료,document
DOC_116049_1,116049,이용자용통계정보보고서,document
DOC_116050_1,116050,이용자용통계정보보고서,document
DOC_116063_4,116063,통계설명메타,document
DOC_116068_1,116068,이용자용통계정보보고서,document
DOC_116068_3,116068,보도자료,document
DOC_116069_1,116069,이용자용통계정보보고서,document
DOC_116069_2,116069,간행물,document
DOC_116070_1,116070,이용자용통계정보보고서,document
DOC_116070_2,116070,간행물,document
DOC_116070_3,116070,보도자료,document
DOC_116072_1,116072,이용자용통계정보보고서,document
DOC_116072_2,116072,간행물,document
DOC_116073_1,116073,이용자용통계정보보고서,document
DOC_116073_2,116073,간행물,document
DOC_116073_3,116073,보도자료,document
DOC_116074_4,116074,통계설명메타,document
DOC_116075_1,116075,이용자용통계정보보고서,document
DOC_116075_2,116075,간행물,document
DOC_116075_3,116075,보도자료,document
DOC_116076_2,116076,간행물,document
DOC_116077_4,116077,통계설명메타,document
DOC_117002_1,117002,이용자용통계정보보고서,document
DOC_117002_3,117002,보도자료,document
DOC_117014_1,117014,이용자용통계정보보고서,document
DOC_117019_4,117019,통계설명메타,document
DOC_117030_1,117030,이용자용통계정보보고서,document
DOC_117032_1,117032,이용자용통계정보보고서,document
DOC_117032_2,117032,간행물,document
DOC_117032_3,117032,보도자료,document
DOC_117034_1,117034,이용자용통계정보보고서,document
DOC_117035_1,117035,이용자용통계정보보고서,document
DOC_117035_2,117035,간행물,document
DOC_117035_3,117035,보도자료,document
DOC_117036_1,117036,이용자용통계정보보고서,document
DOC_117036_3,117036,보도자료,document
DOC_117040_4,117040,통계설명메타,document
DOC_117043_4,117043,통계설명메타,document
DOC_117044_1,117044,이용자용통계정보보고서,document
DOC_117044_2,117044,간행물,document
DOC_117044_3,117044,보도자료,document
DOC_117049_1,117049,이용자용통계정보보고서,document
DOC_117049_3,117049,보도자료,document
DOC_117050_1,117050,이용자용통계정보보고서,document
DOC_117050_2,117050,간행물,document
