DOMAIN_ID,DOMAIN_NM,LABEL
DOM_01,건설,domain
DOM_02,경제일반·경기,domain
DOM_03,과학·기술,domain
DOM_04,광업·제조업,domain
DOM_05,교육·훈련,domain
DOM_06,"교육·훈련, 환경",domain
DOM_07,교통·물류,domain
DOM_08,국민계정,domain
DOM_09,국토이용,domain
DOM_10,금융,domain
DOM_11,기업경영,domain
DOM_12,노동,domain
DOM_13,농림,domain
DOM_14,도소매·서비스,domain
DOM_15,무역·국제수지,domain
DOM_16,문화.여가,domain
DOM_17,문화·여가,domain
DOM_18,물가,domain
DOM_19,범죄·안전,domain
DOM_20,보건,domain
DOM_21,복지,domain
DOM_22,사회일반,domain
DOM_23,소득·소비·자산,domain
DOM_24,수산,domain
DOM_25,에너지,domain
DOM_26,인구,domain
DOM_27,임금,domain
DOM_28,정보통신,domain
DOM_29,정부·재정,domain
DOM_30,주거,domain
DOM_31,환경,domain
