INSTITUTION_ID,INSTITUTION_NM,TYPE,LABEL
INST_0001,(사)한국디자인산업연합회,협회/조합,institution
INST_0002,(사)한국여신전문금융업협회,협회/조합,institution
INST_0003,(사)한국여행업협회,협회/조합,institution
INST_0004,(사)한국자동차튜닝산업협회,협회/조합,institution
INST_0005,(재)한국정보통신산업연구원,연구기관,institution
INST_0006,(재)한국청년기업가정신재단,기타기관,institution
INST_0007,강원특별자치도,지방자치단체,institution
INST_0008,강원특별자치도 강릉시,지방자치단체,institution
INST_0009,강원특별자치도 고성군,지방자치단체,institution
INST_0010,강원특별자치도 동해시,지방자치단체,institution
INST_0011,강원특별자치도 삼척시,지방자치단체,institution
INST_0012,강원특별자치도 속초시,지방자치단체,institution
INST_0013,강원특별자치도 양구군,지방자치단체,institution
INST_0014,강원특별자치도 양양군,지방자치단체,institution
INST_0015,강원특별자치도 영월군,지방자치단체,institution
INST_0016,강원특별자치도 원주시,지방자치단체,institution
INST_0017,강원특별자치도 인제군,지방자치단체,institution
INST_0018,강원특별자치도 정선군,지방자치단체,institution
INST_0019,강원특별자치도 철원군,지방자치단체,institution
INST_0020,강원특별자치도 춘천시,지방자치단체,institution
INST_0021,강원특별자치도 태백시,지방자치단체,institution
INST_0022,강원특별자치도 평창군,지방자치단체,institution
INST_0023,강원특별자치도 홍천군,지방자치단체,institution
INST_0024,강원특별자치도 화천군,지방자치단체,institution
INST_0025,강원특별자치도 횡성군,지방자치단체,institution
INST_0026,개인정보 보호위원회,중앙행정기관,institution
INST_0027,건강보험심사평가원,기타기관,institution
INST_0028,건축공간연구원,연구기관,institution
INST_0029,검찰청,중앙행정기관,institution
INST_0030,경기도,지방자치단체,institution
INST_0031,경기도 가평군,지방자치단체,institution
INST_0032,경기도 고양시,지방자치단체,institution
INST_0033,경기도 과천시,지방자치단체,institution
INST_0034,경기도 광명시,지방자치단체,institution
INST_0035,경기도 광주시,지방자치단체,institution
INST_0036,경기도 구리시,지방자치단체,institution
INST_0037,경기도 군포시,지방자치단체,institution
INST_0038,경기도 김포시,지방자치단체,institution
INST_0039,경기도 남양주시,지방자치단체,institution
INST_0040,경기도 동두천시,지방자치단체,institution
INST_0041,경기도 부천시,지방자치단체,institution
INST_0042,경기도 성남시,지방자치단체,institution
INST_0043,경기도 수원시,지방자치단체,institution
INST_0044,경기도 시흥시,지방자치단체,institution
INST_0045,경기도 안산시,지방자치단체,institution
INST_0046,경기도 안성시,지방자치단체,institution
INST_0047,경기도 안양시,지방자치단체,institution
INST_0048,경기도 양주시,지방자치단체,institution
INST_0049,경기도 양평군,지방자치단체,institution
INST_0050,경기도 여주시,지방자치단체,institution
INST_0051,경기도 연천군,지방자치단체,institution
INST_0052,경기도 오산시,지방자치단체,institution
INST_0053,경기도 용인시,지방자치단체,institution
INST_0054,경기도 의왕시,지방자치단체,institution
INST_0055,경기도 의정부시,지방자치단체,institution
INST_0056,경기도 이천시,지방자치단체,institution
INST_0057,경기도 파주시,지방자치단체,institution
INST_0058,경기도 평택시,지방자치단체,institution
INST_0059,경기도 포천시,지방자치단체,institution
INST_0060,경기도 하남시,지방자치단체,institution
INST_0061,경기도 화성시,지방자치단체,institution
INST_0062,경상남도,지방자치단체,institution
INST_0063,경상남도 거제시,지방자치단체,institution
INST_0064,경상남도 거창군,지방자치단체,institution
INST_0065,경상남도 고성군,지방자치단체,institution
INST_0066,경상남도 김해시,지방자치단체,institution
INST_0067,경상남도 남해군,지방자치단체,institution
INST_0068,경상남도 밀양시,지방자치단체,institution
INST_0069,경상남도 사천시,지방자치단체,institution
INST_0070,경상남도 산청군,지방자치단체,institution
INST_0071,경상남도 양산시,지방자치단체,institution
INST_0072,경상남도 의령군,지방자치단체,institution
INST_0073,경상남도 진주시,지방자치단체,institution
INST_0074,경상남도 창녕군,지방자치단체,institution
INST_0075,경상남도 창원시,지방자치단체,institution
INST_0076,경상남도 통영시,지방자치단체,institution
INST_0077,경상남도 하동군,지방자치단체,institution
INST_0078,경상남도 함안군,지방자치단체,institution
INST_0079,경상남도 함양군,지방자치단체,institution
INST_0080,경상남도 합천군,지방자치단체,institution
INST_0081,경상북도,지방자치단체,institution
INST_0082,경상북도 경산시,지방자치단체,institution
INST_0083,경상북도 경주시,지방자치단체,institution
INST_0084,경상북도 고령군,지방자치단체,institution
INST_0085,경상북도 구미시,지방자치단체,institution
INST_0086,경상북도 김천시,지방자치단체,institution
INST_0087,경상북도 문경시,지방자치단체,institution
INST_0088,경상북도 봉화군,지방자치단체,institution
INST_0089,경상북도 상주시,지방자치단체,institution
INST_0090,경상북도 성주군,지방자치단체,institution
INST_0091,경상북도 안동시,지방자치단체,institution
INST_0092,경상북도 영덕군,지방자치단체,institution
INST_0093,경상북도 영양군,지방자치단체,institution
INST_0094,경상북도 영주시,지방자치단체,institution
INST_0095,경상북도 영천시,지방자치단체,institution
INST_0096,경상북도 예천군,지방자치단체,institution
INST_0097,경상북도 울릉군,지방자치단체,institution
INST_0098,경상북도 울진군,지방자치단체,institution
INST_0099,경상북도 의성군,지방자치단체,institution
INST_0100,경상북도 청도군,지방자치단체,institution
INST_0101,경상북도 청송군,지방자치단체,institution
INST_0102,경상북도 칠곡군,지방자치단체,institution
INST_0103,경상북도 포항시,지방자치단체,institution
INST_0104,경찰청,중앙행정기관,institution
INST_0105,고용노동부,중앙행정기관,institution
INST_0106,공정거래위원회,중앙행정기관,institution
INST_0107,과학기술정보통신부,중앙행정기관,institution
INST_0108,과학기술정책연구원,연구기관,institution
INST_0109,관세청,중앙행정기관,institution
INST_0110,광주광역시,지방자치단체,institution
INST_0111,광주광역시 광산구,지방자치단체,institution
