통계표ID,통계표명,승인번호,기관코드,주기,시작연도,마지막연도,지역,연령대,대상,구분
DT_1SA100,"세종특별자치시 농가, 농가인구",13002,101,부정기,2013,2013,세종,,"농가,농가인구",
DT_1SA101,경지규모별 농가수,13002,101,부정기,2013,2013,,,농가수,경지규모별
DT_1SA1011,논면적규모별 농가수,13002,101,부정기,2013,2013,,,농가수,논면적규모별
DT_1SA1011_01,"농가수, 논면적",13002,101,부정기,2013,2013,,,"농가수,논면적",
DT_1SA1013,밭면적규모별 농가수,13002,101,부정기,2013,2013,,,농가수,밭면적규모별
DT_1SA1013_01,"농가수, 밭면적",13002,101,부정기,2013,2013,,,"농가수,밭면적",
DT_1SA1015,과수원면적규모별 농가수,13002,101,부정기,2013,2013,,,농가수,과수원면적규모별
DT_1SA1015_01,과수원면적,13002,101,부정기,2013,2013,,,과수원면적,품목별
DT_1SA101_01,"농가수, 경지면적",13002,101,부정기,2013,2013,,,"농가수,경지면적",
DT_1SA102,경영형태별 농가수,13002,101,부정기,2013,2013,,,농가수,경영형태별
DT_1SA103,전겸업별 농가,13002,101,부정기,2013,2013,,,농가,전겸업별
DT_1SA104,가구원수별 농가수,13002,101,부정기,2013,2013,,,"농가수,가구원수",가구원수별
DT_1SA104_01,평균가수원수,13002,101,부정기,2013,2013,,,가수원수,
DT_1SA105,세대구성별 농가수,13002,101,부정기,2013,2013,,,농가수,세대구성별
DT_1SA107,경영주연령(5세계급)별/교육정도별 농가수,13002,101,부정기,2013,2013,,,농가수,"경영주연령별,교육정도별"
DT_1SA108,경영주농사경력기간별 농가수,13002,101,부정기,2013,2013,,,농가수,경영주농사경력기간별
DT_1SA117,농축산물판매금액별 농가,13002,101,부정기,2013,2013,,,농가,농축산물판매금액별
DT_1SA118,농축산물판매처별 농가수,13002,101,부정기,2013,2013,,,농가수,판매처별
DT_1SA120,주요과수재배시설별 농가수,13002,101,부정기,2013,2013,,,농가수,주요과수재배시설별
DT_1SA201,"연령(각세)별/성별 농가인구, 성비",13002,101,부정기,2013,2013,,,농가인구,"연령별,성별"
DT_1SA202,연령(5세계급)별/성별 농가인구,13002,101,부정기,2013,2013,,,농가인구,"연령별,성별"
DT_1SA401,논벼수확면적규모별 농가수,13002,101,부정기,2013,2013,,,논벼수확면적규모별농가수,규모별
DT_1SA401_01,수확면적,13002,101,부정기,2013,2013,,,수확면적,"품목별,행정구역별"
DT_1SA402,"수확규모별/식량작물(논벼제외)별 농가수, 면적",13002,101,부정기,2013,2013,,,"농가수,면적","수확규모별,식량작물,논벼제외별"
DT_1SA403,"수확규모별/작물별(채소, 특용작물, 화초작물, 기타 작물) 농가수, 면적",13002,101,부정기,2013,2013,,,"농가수,면적","수확규모별,작물별"
DT_1SA408,"시설작물별 농가수, 면적",13002,101,부정기,2013,2013,,,"농가수,면적",시설작물별
DT_1SA4086,시설수박수확면적규모별 농가수,13002,101,부정기,2013,2013,,,농가수,시설수박수확면적규모별
DT_1SA4086_01,시설수박 수확면적,13002,101,부정기,2013,2013,,,"시설수박,수확면적",행정구역별
DT_1SA4088,시설딸기수확면적 규모별 농가수,13002,101,부정기,2013,2013,,,농가수,규모별
DT_1SA4088_01,시설딸기 수확면적,13002,101,부정기,2013,2013,,,"시설딸기,수확면적",행정구역별
DT_1SA409,과수재배규모별 농가수,13002,101,부정기,2013,2013,,,농가수,과수재배규모별
DT_1SA4093,경지규모별/복숭아재배면적및수확면적규모별 농가수,13002,101,부정기,2013,2013,,,경지규모별복숭아재배면적및수확면적규모별농가수,"경지규모별,복숭아재배면적및수확면적규모별"
DT_1SA4093_01,"복숭아 재배면적, 수확면적",13002,101,부정기,2013,2013,,,"재배면적,수확면적",품목별
DT_1SA409_01,과수종류별 면적,13002,101,부정기,2013,2013,,,면적,과수종류별
DT_1SA4103,과수재배규모별/복숭아 주된 재배품종별 농가수,13002,101,부정기,2013,2013,,,농가수,"과수재배규모별,복숭아주된재배품종별"
DT_1SA501,가축종류별 사육 농가수,13002,101,부정기,2013,2013,,,사육농가수,가축종류별
DT_1SA501_01,가축종류별 사육 마리(통)수,13002,101,부정기,2013,2013,,,"가축,마리수",가축종류별
DT_1SC1001,"가구형태별 가구, 가구원수",13002,101,부정기,2013,2013,,,"가구,가구원수","가구형태별,가구원수별"
DT_1SC1002,가구원수별/방·거실·식사용방수별 일반가구수,13002,101,부정기,2013,2013,,,일반가구수,"가구원수별,방거실식사용방수별"
DT_1SC1003,가구원수별/거처종류별/사용방수별 일반가구수,13002,101,부정기,2013,2013,,,일반가구수,"가구원수별,거처종류별,사용방수별"
DT_1SC1003_01,가구원수별/거처종류별 평균 사용방수,13002,101,부정기,2013,2013,,,"가구원수,거처종류,평균사용방수","가구원수별,거처종류별"
DT_1SC1004,거처종류별/주거시설형태별 일반가구수,13002,101,부정기,2013,2013,,,일반가구수,"거처종류별,주거시설형태별"
DT_1SC1005,가구주연령별/가구원수별 일반가구수,13002,101,부정기,2013,2013,,,일반가구수,"가구주연령별,가구원수별"
DT_1SC1005_01,가구주연령별 평균 가구원수,13002,101,부정기,2013,2013,,,평균가구원수,가구주연령별
DT_1SC1006,가구주의 성별/연령별/혼인상태별 일반가구수,13002,101,부정기,2013,2013,,,일반가구수,"성별,연령별,혼인상태별"
DT_1SC1007,가구주의 성별/연령별/거처종류별 일반가구수,13002,101,부정기,2013,2013,,,일반가구수,"성별,연령별,거처종류별"
DT_1SC1008,"세대구성별 일반가구수, 일반가구원수",13002,101,부정기,2013,2013,,,"일반가구수,일반가구원수",세대구성별
DT_1SC1009,세대구성별/가구원수별 일반가구수,13002,101,부정기,2013,2013,,,일반가구수,"세대구성별,가구원수별"
DT_1SC1009_01,세대구성별 평균 가구원수,13002,101,부정기,2013,2013,,,가구원수,세대구성별
DT_1SC1010,가구주의 성별/연령별/세대구성별 일반가구수,13002,101,부정기,2013,2013,,,일반가구수,"성별,연령별,세대구성별"
DT_1SF101,산림보유 면적 규모별 임가수,13002,101,부정기,2013,2013,,,임가수,면적별
DT_1SF101_01,"임가수, 산림면적",13002,101,부정기,2013,2013,,,"임가수,산림면적",산림면적별
DT_1SF102,전겸업별 임가수,13002,101,부정기,2013,2013,,,임가수,전겸업별
DT_1SF103,임업경영형태별 임가수,13002,101,부정기,2013,2013,,,임가수,임업경영형태별
DT_1SF105,가구원수별 임가수,13002,101,부정기,2013,2013,,,"가구원수,임가수",가구원수별
DT_1SF105_01,"임가수, 가구원수",13002,101,부정기,2013,2013,,,"임가수,가구원수",가구원수별
DT_1SF106,세대구성별 임가수,13002,101,부정기,2013,2013,,,임가수,세대구성별
DT_1SF108,경영주연령(5세계급)별/교육정도별 임가수,13002,101,부정기,2013,2013,,,임가수,"경영주연령별,교육정도별"
DT_1SF202,경영주임업종사기간별 임가수,13002,101,부정기,2013,2013,,,임가수,경영주임업종사기간별
DT_1SF205,임산물판매금액별 임가수,13002,101,부정기,2013,2013,,,임가수,임산물판매금액별
DT_1SF301,"연령(각세)별/성별 임가인구,성비",13002,101,부정기,2013,2013,,,임가인구,"연령별,성별"
DT_1SF302,연령(5세계급)별/성별 임가인구,13002,101,부정기,2013,2013,,,임가인구,"연령별,성별"
DT_1SF501,임산물재배품목별 임가수,13002,101,부정기,2013,2013,,,임가수,임산물재배품목별
DT_1SF501_01,임산물재배품목별 재배면적,13002,101,부정기,2013,2013,,,재배면적,임산물재배품목별
DT_1SL1001,성별/거처종류별 1인 가구수,13002,101,부정기,2013,2013,,,1인가구수,"성별,거처종류별"
DT_1SL1002,성별/연령별/교육정도별 1인가구수,13002,101,부정기,2013,2013,,,1인가구수,"성별,연령별,교육정도별"
DT_1SL1003,성별/연령별/혼인상태별 1인가구수(15세이상),13002,101,부정기,2013,2013,,15세이상,1인가구수,"성별,연령별,혼인상태별"
DT_1SN1001,"인구, 가구수, 주택수",13002,101,부정기,2013,2013,,,"인구,가구수,주택수",행정구역별
DT_1SN1002,연령별 성별 인구,13002,101,부정기,2013,2013,,,인구,"연령별,성별"
DT_1SN1003,성별/연령별/교육정도별 인구(6세이상),13002,101,부정기,2013,2013,,6세이상,인구,"성별,연령별,교육정도별"
DT_1SN1004,성별/연령별/혼인상태별 인구(15세이상),13002,101,부정기,2013,2013,,15세이상,인구,"성별,연령별,혼인상태별"
DT_1SN1005,성별/연령별/가구주와의 관계별 인구,13002,101,부정기,2013,2013,,,인구,"성별,연령별,가구주와의관계별"
DT_1SN1006,가구주와의 관계별/성별/혼인상태별 인구,13002,101,부정기,2013,2013,,,"가구주,성별,혼인상태별인구","가구주와의관계별,성별,혼인상태별"
DT_1SR101,총가구수별 행정리수,13002,101,부정기,2013,2013,,,"행정리,총가구수",총가구수별
DT_1SR102,농가수별 행정리수,13002,101,부정기,2013,2013,,,"농가수,행정리수",행정리별
DT_1SR103,임가수별 행정리수,13002,101,부정기,2013,2013,,,행정리,임가수별
DT_1SU1001,주택의 종류별 주택수,13002,101,부정기,2013,2013,,,주택수,종류별
DT_1SU1002,"거처종류별 거처수, 가구수, 가구원수",13002,101,부정기,2013,2013,,,"거처수,가구수,가구원수",거처종류별
DT_1SU1003,주택종류별/연면적별/거주인수별 주택수,13002,101,부정기,2013,2013,,,주택수,"주택종류별,연면적별,거주인수별"
DT_1SU1003_01,주택종류별/연면적별 평균 거주인수,13002,101,부정기,2013,2013,,,거주인수,"주택종류별,연면적별"
DT_1SU1004,주택종류별/총방수별 주택수,13002,101,부정기,2013,2013,,,주택수,"주택종류별,총방수별"
DT_1SU1005,주택종류별/연면적별/총방수별 주택수,13002,101,부정기,2013,2013,,,주택수,"주택종류별,연면적별,총방수별"
