통계표ID,통계표명,지역,cleaning1,cleaning2,연령대,cleaning3,cleaning4,구분,대상
DT_1SA100,"세종특별자치시 농가, 농가인구",세종,"농가, 농가인구","농가, 농가인구",,"농가, 농가인구","농가, 농가인구",기준없음,"농가, 농가인구"
DT_1SA101,경지규모별 농가수,,경지규모별 농가수,경지규모별 농가수,,경지규모별 농가수,경지규모별 농가수,경지규모별,농가수
DT_1SA1011,논면적규모별 농가수,,논면적규모별 농가수,논면적규모별 농가수,,논면적규모별 농가수,논면적규모별 농가수,논면적 규모별,농가수
DT_1SA1011_01,"농가수, 논면적",,"농가수, 논면적","농가수, 논면적",,"농가수, 논면적","농가수, 논면적",기준없음,"농가수, 논면적"
DT_1SA1013,밭면적규모별 농가수,,밭면적규모별 농가수,밭면적규모별 농가수,,밭면적규모별 농가수,밭면적규모별 농가수,밭면적규모별,농가수
DT_1SA1013_01,"농가수, 밭면적",,"농가수, 밭면적","농가수, 밭면적",,"농가수, 밭면적","농가수, 밭면적",기준없음,"농가수, 밭면적"
DT_1SA1015,과수원면적규모별 농가수,,과수원면적규모별 농가수,과수원면적규모별 농가수,,과수원면적규모별 농가수,과수원면적규모별 농가수,과수원 면적 규모별,농가수
DT_1SA1015_01,과수원면적,,과수원면적,과수원면적,,과수원면적,과수원면적,품목별,과수원면적
DT_1SA101_01,"농가수, 경지면적",,"농가수, 경지면적","농가수, 경지면적",,"농가수, 경지면적","농가수, 경지면적",기준없음,"농가수, 경지면적"
DT_1SA102,경영형태별 농가수,,경영형태별 농가수,경영형태별 농가수,,경영형태별 농가수,경영형태별 농가수,경영형태별,농가수
DT_1SA103,전겸업별 농가,,전겸업별 농가,전겸업별 농가,,전겸업별 농가,전겸업별 농가,전겸업별,농가
DT_1SA104,가구원수별 농가수,,가구원수별 농가수,가구원수별 농가수,,가구원수별 농가수,가구원수별 농가수,가구원수별,"농가수, 가구원수"
DT_1SA104_01,평균가수원수,,평균가수원수,평균가수원수,,평균가수원수,평균가수원수,기준없음,가수원수
DT_1SA105,세대구성별 농가수,,세대구성별 농가수,세대구성별 농가수,,세대구성별 농가수,세대구성별 농가수,세대구성별,농가수
